Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
"It would depend on the job and the circumstance. If I felt that it wouldn’t interfere with the job or my coworkers, then I might not bring it up in an interview. If I felt it would affect my work or my coworkers jobs, then yes, I’d bring it up.",I feel like there’s still lots of stigma surrounding mental health issues and mood disorders. I would worry that it would negatively affect my interviewers perception of me and my ability to do good work...ironically I suppose I’m also contributing to this stigma by not being open to discussing my mental health in an interview.,,,,,"Telling a few coworkers that I saw a therapist, both to break down stigma and to help encourage them to get some support surrounding mental health. One coworker had a lot of questions. Another said they wanted to go to therapy, but the cost was prohibitive & didn’t seem to want to look into subsidized/sliding scale options. ",,,,,would depend job circumstance felt wouldnt interfere job coworkers might bring interview felt would affect work coworkers job yes id bring,feel like there still lot stigma surrounding mental health issue mood disorder would worry would negatively affect interviewer perception ability good workironically suppose im also contributing stigma open discussing mental health interview,,,,,telling coworkers saw therapist break stigma help encourage get support surrounding mental health one coworker lot question another said wanted go therapy cost prohibitive didnt seem want look subsidizedsliding scale option,,,,,would depend job circumstance felt wouldnt interfere job coworkers might bring interview felt would affect work coworkers job yes id bring feel like there still lot stigma surrounding mental health issue mood disorder would worry would negatively affect interviewer perception ability good workironically suppose im also contributing stigma open discussing mental health interview     telling coworkers saw therapist break stigma help encourage get support surrounding mental health one coworker lot question another said wanted go therapy cost prohibitive didnt seem want look subsidizedsliding scale option    ,0.9058,Positive,United States of America
I'm not comfortable talking about health issues during interviews.,I'm not comfortable talking about health issues during interviews.,"I was starting to have panic attacks daily due to the stressors I was seeing at work. My manager disregarded my concerns until I had to go to the ER because I thought I was having a heart attack, and had me take a day off that generously ""didn't count towards my PTO."" I had roughly 5 meetings with him describing what was going on, and that I needed help, but none was offered. I've submitted my notice at this role, and found that there are no mental health policies put into place, nor coverage.",,,,"I was feeling a bit overwhelmed with new responsibilities, and they directed me to OSMI. They also advised me to talk to my HR team directly, as they had partnered with Cognitive Behavioral Therapists and I could have taken sessions if I found it to get worse.",,"Talk about it early and often, as part of company meetings, normalize conversations around mental health. Describe the process end to end what it would look like to ask for help.","My manager basically told me that I'm acting very naive and immature, and that all management roles are stressful, that I just need to man up.",No,im comfortable talking health issue interview,im comfortable talking health issue interview,starting panic attack daily due stressor seeing work manager disregarded concern go er thought heart attack take day generously didnt count towards pto roughly meeting describing going needed help none offered ive submitted notice role found mental health policy put place coverage,,,,feeling bit overwhelmed new responsibility directed osmi also advised talk hr team directly partnered cognitive behavioral therapist could taken session found get worse,,talk early often part company meeting normalize conversation around mental health describe process end end would look like ask help,manager basically told im acting naive immature management role stressful need man,,im comfortable talking health issue interview im comfortable talking health issue interview starting panic attack daily due stressor seeing work manager disregarded concern go er thought heart attack take day generously didnt count towards pto roughly meeting describing going needed help none offered ive submitted notice role found mental health policy put place coverage    feeling bit overwhelmed new responsibility directed osmi also advised talk hr team directly partnered cognitive behavioral therapist could taken session found get worse  talk early often part company meeting normalize conversation around mental health describe process end end would look like ask help manager basically told im acting naive immature management role stressful need man ,-0.6597,Negative,United Kingdom
Not really appropriate for the context of an interview. ,Not really applicable before an interview; I could only see a negative impact.,"I told my manager I was starting antidepressants. He seemed surprised and concerned, and asked if there was anything he could do. Was very understanding that I might need to work from home or take more sick days.",,,,,,"It's not discussed very much. Additionally, the tech industry as a whole is ripe with potential to exacerbate issues for minority workers.",,,really appropriate context interview,really applicable interview could see negative impact,told manager starting antidepressant seemed surprised concerned asked anything could understanding might need work home take sick day,,,,,,discussed much additionally tech industry whole ripe potential exacerbate issue minority worker,,,really appropriate context interview really applicable interview could see negative impact told manager starting antidepressant seemed surprised concerned asked anything could understanding might need work home take sick day      discussed much additionally tech industry whole ripe potential exacerbate issue minority worker  ,-0.7269,Negative,United States of America
"It's not worth the risk that they react badly. And if I'm not obliged to tell them, I'd prefer to keep it private","It's not worth the risk that they react badly. And if I'm not obliged to tell them, I'd prefer to keep it private",,"I have talked casually about burnout, anxiety and depression with my coworkers. They have generally reacted positively.",I have had coworkers mention struggling with depressive episodes. And other coworkers mention issues with insomnia.,,,,Normalizing more healthy work habits. Too many employers talk positively about mental health but still promote unhealthy work hours and habits,,,worth risk react badly im obliged tell id prefer keep private,worth risk react badly im obliged tell id prefer keep private,,talked casually burnout anxiety depression coworkers generally reacted positively,coworkers mention struggling depressive episode coworkers mention issue insomnia,,,,normalizing healthy work habit many employer talk positively mental health still promote unhealthy work hour habit,,,worth risk react badly im obliged tell id prefer keep private worth risk react badly im obliged tell id prefer keep private  talked casually burnout anxiety depression coworkers generally reacted positively coworkers mention struggling depressive episode coworkers mention issue insomnia    normalizing healthy work habit many employer talk positively mental health still promote unhealthy work hour habit  ,-0.7906,Negative,United States of America
"Employers are more accepting and accommodating of physical issues, but there is still some stigma around them.",I feel like I would be discriminated against more with a mental health issue. ,,,,,,,Promote mental health more and allow employees to take mental health days. Allow much more PTO or a generous work from home policy. Let people step away from the stresses of work more frequently to improve their mental health.,,,employer accepting accommodating physical issue still stigma around,feel like would discriminated mental health issue,,,,,,,promote mental health allow employee take mental health day allow much pto generous work home policy let people step away stress work frequently improve mental health,,,employer accepting accommodating physical issue still stigma around feel like would discriminated mental health issue       promote mental health allow employee take mental health day allow much pto generous work home policy let people step away stress work frequently improve mental health  ,0.9169,Positive,United States of America
"I think people are more ""accepting"" of physical health issues than they are mental health issues because there is a perception of futility with regards to physical health. (ie - ""Oh, you're missing a leg, well I can't help you with that"")","Mental health issues are still very frowned upon or not easily talked about in the US, and many people are not comfortable talking about it. I fear that if I were to bring it up during an interview, it may affect my chances of obtaining an offer.","I had mentioned to my employer that I have depression and that it can sometimes impact my performance. They said they understood, and then told me that the ""solution"" was simply to start maintaining a schedule and then the depression would go away...","I've spoken to coworkers about depression in a broad sense and mentioned that I have depression, and the response was (pretty much), ""Yeah, that doesn't surprise me""",,"At a previous company, I had a co-worker who was a bully to me and who would berate me and undermine me in all of our meetings. I had brought this up both to the co-worker and to my manager, but my manager dismissed it because my co-worker was a woman. I brought the issue up to HR and they told me that the company will pay for up to 3 sessions with a counselor if I felt I needed it. I did use the 3 sessions, but I later found out that my manager had told my team that I had started going to therapy. I left the company shortly afterwards.","I've spoken to co-workers who did not work on the same team as I did. I would even call these co-workers friends. When speaking to them about my depression, they seemed to be understanding and empathetic to my situation.",,"For starters, be aware of what mental health entails/encompasses. Learn how it is that an employer can help, or support someone with mental health issues. Finally, be understanding/endorsing of ""mental health days"". My brain is my toolbox as a software engineer, sometimes I need a day just to polish the rust off.","I have mentioned my depression to co-workers, and one of my colleagues said, ""Suck it up, buttercup""","It might be interesting to ask, ""Does your company allow for sick days to be used for 'Mental Health Days'?""",think people accepting physical health issue mental health issue perception futility regard physical health ie oh youre missing leg well cant help,mental health issue still frowned upon easily talked u many people comfortable talking fear bring interview may affect chance obtaining offer,mentioned employer depression sometimes impact performance said understood told solution simply start maintaining schedule depression would go away,ive spoken coworkers depression broad sense mentioned depression response pretty much yeah doesnt surprise,,previous company coworker bully would berate undermine meeting brought coworker manager manager dismissed coworker woman brought issue hr told company pay session counselor felt needed use session later found manager told team started going therapy left company shortly afterwards,ive spoken coworkers work team would even call coworkers friend speaking depression seemed understanding empathetic situation,,starter aware mental health entailsencompasses learn employer help support someone mental health issue finally understandingendorsing mental health day brain toolbox software engineer sometimes need day polish rust,mentioned depression coworkers one colleague said suck buttercup,might interesting ask company allow sick day used mental health day,think people accepting physical health issue mental health issue perception futility regard physical health ie oh youre missing leg well cant help mental health issue still frowned upon easily talked u many people comfortable talking fear bring interview may affect chance obtaining offer mentioned employer depression sometimes impact performance said understood told solution simply start maintaining schedule depression would go away ive spoken coworkers depression broad sense mentioned depression response pretty much yeah doesnt surprise  previous company coworker bully would berate undermine meeting brought coworker manager manager dismissed coworker woman brought issue hr told company pay session counselor felt needed use session later found manager told team started going therapy left company shortly afterwards ive spoken coworkers work team would even call coworkers friend speaking depression seemed understanding empathetic situation  starter aware mental health entailsencompasses learn employer help support someone mental health issue finally understandingendorsing mental health day brain toolbox software engineer sometimes need day polish rust mentioned depression coworkers one colleague said suck buttercup might interesting ask company allow sick day used mental health day,-0.9396,Negative,United States of America
Fear of it being leveraged against me in negotiations or candidacy,Fear of it being leveraged against me as a potential candidate,,,,,Discussed having a therapist and general mental health,Having a therapist and general mental health,,,,fear leveraged negotiation candidacy,fear leveraged potential candidate,,,,,discussed therapist general mental health,therapist general mental health,,,,fear leveraged negotiation candidacy fear leveraged potential candidate     discussed therapist general mental health therapist general mental health   ,-0.7506,Negative,United States of America
I would be afraid that it would disqualify me from the position.,"I feel like I would be stigmatized. I'm already a minority, and adding any kind of mental illness to that aspect would not reflect positively on me.",I talked with my direct manager about anxiety and stress that I was experiencing. They suggested I see a therapist.,,"My coworker has been very open about their current mental health issues, and talks about things they discover in therapy",,,,"The industry encourages long hours, an unhealthy work/life balance, and perfection. Having time off and encouraging taking time off for employees would be a step in the right direction - it might lead to temporary losses (1 less person to work on a project), but would be beneficial for all parties involved in the long run.",,,would afraid would disqualify position,feel like would stigmatized im already minority adding kind mental illness aspect would reflect positively,talked direct manager anxiety stress experiencing suggested see therapist,,coworker open current mental health issue talk thing discover therapy,,,,industry encourages long hour unhealthy worklife balance perfection time encouraging taking time employee would step right direction might lead temporary loss less person work project would beneficial party involved long run,,,would afraid would disqualify position feel like would stigmatized im already minority adding kind mental illness aspect would reflect positively talked direct manager anxiety stress experiencing suggested see therapist  coworker open current mental health issue talk thing discover therapy    industry encourages long hour unhealthy worklife balance perfection time encouraging taking time employee would step right direction might lead temporary loss less person work project would beneficial party involved long run  ,0.9186,Positive,United States of America
Don’t want them to not consider me for a job ,"Most people have a stigma associated with this, I would talk to friends or people I knew well but not in an interview ","Discussed burnout which is a combination of mostly anxiety and physical symptoms like severe back pain and increased heart rate and trouble sleeping. The stress was all related to incompetent management and political games that prevented me from moving to a better team within the organization. When I discussed issues with managers and requested moving to another team, they refused. After numerous conversations with HR I finally got a new manager but this did not resolve other incompetencies with management and the business strategy. I was told I could ask a dr for a note to use my sick time to recover. I was not given the option to take medical leave or short term disability for the back pain that was so severe I couldn’t stand up straight one day, and had to go home early several times. Eventually the back pain got bad enough I decided to quit the job and be unemployed rather than continue to suffer. ","I talked with nearly every team member who asked about my back pain, some of them I told about the burnout and that it was all work related. I didn’t go into much more detail than that but people either seemed surprised for the reason I was leaving the company or they seemed to understand because they felt the same.",,I discussed depression related to an emotionally abusive relationship. They allowed me to leave work early to make it to therapy sessions. ,I talked about dealing with depression from loss of a pet as well as an emotionally abusive relationship and then Trump being elected.,,"Tell employees what their plans cover for mental health. Cover psychotherapy session out of pocket costs when insurance does not fully cover. Getting the right therapist that’s also covered under insurance is almost impossible. Most of the times the good ones don’t accept insurance so I had to pay out of pocket, I used up most of my flexible spending account with this but if I didn’t have that I would have been in trouble.",When I discussed my anxiety and burnout the situation was left unchanged for so long that things just got worse to the point I had to quit ,"There seems to be an epidemic of narcissistic personality disorder, not sure if that’s a Bay Area or a tech industry or a startup culture thing. But I’ve had multiple managers whose behaviors fall on the spectrum of this disorder and interfere with mental health of team members as a result of emotionally abusive behaviors such as gaslighting, triangulation, public humiliation, lack of accountability/responsibility (blaming others), silent treatment, withholding information, etc.",dont want consider job,people stigma associated would talk friend people knew well interview,discussed burnout combination mostly anxiety physical symptom like severe back pain increased heart rate trouble sleeping stress related incompetent management political game prevented moving better team within organization discussed issue manager requested moving another team refused numerous conversation hr finally got new manager resolve incompetency management business strategy told could ask dr note use sick time recover given option take medical leave short term disability back pain severe couldnt stand straight one day go home early several time eventually back pain got bad enough decided quit job unemployed rather continue suffer,talked nearly every team member asked back pain told burnout work related didnt go much detail people either seemed surprised reason leaving company seemed understand felt,,discussed depression related emotionally abusive relationship allowed leave work early make therapy session,talked dealing depression loss pet well emotionally abusive relationship trump elected,,tell employee plan cover mental health cover psychotherapy session pocket cost insurance fully cover getting right therapist thats also covered insurance almost impossible time good one dont accept insurance pay pocket used flexible spending account didnt would trouble,discussed anxiety burnout situation left unchanged long thing got worse point quit,seems epidemic narcissistic personality disorder sure thats bay area tech industry startup culture thing ive multiple manager whose behavior fall spectrum disorder interfere mental health team member result emotionally abusive behavior gaslighting triangulation public humiliation lack accountabilityresponsibility blaming others silent treatment withholding information etc,dont want consider job people stigma associated would talk friend people knew well interview discussed burnout combination mostly anxiety physical symptom like severe back pain increased heart rate trouble sleeping stress related incompetent management political game prevented moving better team within organization discussed issue manager requested moving another team refused numerous conversation hr finally got new manager resolve incompetency management business strategy told could ask dr note use sick time recover given option take medical leave short term disability back pain severe couldnt stand straight one day go home early several time eventually back pain got bad enough decided quit job unemployed rather continue suffer talked nearly every team member asked back pain told burnout work related didnt go much detail people either seemed surprised reason leaving company seemed understand felt  discussed depression related emotionally abusive relationship allowed leave work early make therapy session talked dealing depression loss pet well emotionally abusive relationship trump elected  tell employee plan cover mental health cover psychotherapy session pocket cost insurance fully cover getting right therapist thats also covered insurance almost impossible time good one dont accept insurance pay pocket used flexible spending account didnt would trouble discussed anxiety burnout situation left unchanged long thing got worse point quit seems epidemic narcissistic personality disorder sure thats bay area tech industry startup culture thing ive multiple manager whose behavior fall spectrum disorder interfere mental health team member result emotionally abusive behavior gaslighting triangulation public humiliation lack accountabilityresponsibility blaming others silent treatment withholding information etc,-0.9962,Negative,Poland
"I don't have any that would require accommodation, so I feel like it could only hurt or be neutral on my chances of securing a new job.  If I had a physical health problem that would require accommodation, I would want to disclose that in advance so it didn't become an issue later.","I'm hired as a knowledge worker - there's too much prejudice in society about mental illness, so I wouldn't bring it up and possibly hurt my chances.",,,"One of my practice members was having mental health issues. He brought it up and immediately asked me if he was fired because of it. I assured him he wasn't, and encouraged him to talk more with our shared manager.",,,,"Talk about mental health. Abandon the ""startup"" ""all work, all the time"" mentality. Focus on building trusting relationships. Communicate. Integrate the whole person into the workplace, not just the professional front we often present.",,,dont would require accommodation feel like could hurt neutral chance securing new job physical health problem would require accommodation would want disclose advance didnt become issue later,im hired knowledge worker there much prejudice society mental illness wouldnt bring possibly hurt chance,,,one practice member mental health issue brought immediately asked fired assured wasnt encouraged talk shared manager,,,,talk mental health abandon startup work time mentality focus building trusting relationship communicate integrate whole person workplace professional front often present,,,dont would require accommodation feel like could hurt neutral chance securing new job physical health problem would require accommodation would want disclose advance didnt become issue later im hired knowledge worker there much prejudice society mental illness wouldnt bring possibly hurt chance   one practice member mental health issue brought immediately asked fired assured wasnt encouraged talk shared manager    talk mental health abandon startup work time mentality focus building trusting relationship communicate integrate whole person workplace professional front often present  ,-0.916,Negative,United States of America
Depends on whether I think it would affect my work and their perception of me,Depends on whether it would affect my work and their perception of me,,,There was a discussion about someone who had filed for disability leave and the process they took and how it was received.,,,,Better education around what mental health looks like and how to know when you may need to seek additional help. Also better training around how to respond to someone's mental health condition.,Someone was suffering from depression. They disclosed to their manager. The manager thought they were suicidal and called the police on the person. The person was put on a Performance Improvement Plan (despite having good performance). They were eventually let go.,,depends whether think would affect work perception,depends whether would affect work perception,,,discussion someone filed disability leave process took received,,,,better education around mental health look like know may need seek additional help also better training around respond someone mental health condition,someone suffering depression disclosed manager manager thought suicidal called police person person put performance improvement plan despite good performance eventually let go,,depends whether think would affect work perception depends whether would affect work perception   discussion someone filed disability leave process took received    better education around mental health look like know may need seek additional help also better training around respond someone mental health condition someone suffering depression disclosed manager manager thought suicidal called police person person put performance improvement plan despite good performance eventually let go ,-0.2278,Negative,United States of America
I don't have anything that would be necessary to share at this time. ,I don't have anything of merit to discuss at this time.,,,,,,,More open discussions about mental health and how to support it in the workplace.,,,dont anything would necessary share time,dont anything merit discus time,,,,,,,open discussion mental health support workplace,,,dont anything would necessary share time dont anything merit discus time       open discussion mental health support workplace  ,0.3753,Positive,United States of America
I would need some job security or assurance before disclosing.,The stigma would no doubt be a strike against me.,,,,"After Trump was elected, I let my boss know I needed a mental health day and he completely understood.",,,"No one speaks about mental health aside from encouraging yoga along with gym time. No one in my company speaks about mental health issues, in general.",,,would need job security assurance disclosing,stigma would doubt strike,,,,trump elected let bos know needed mental health day completely understood,,,one speaks mental health aside encouraging yoga along gym time one company speaks mental health issue general,,,would need job security assurance disclosing stigma would doubt strike    trump elected let bos know needed mental health day completely understood   one speaks mental health aside encouraging yoga along gym time one company speaks mental health issue general  ,0.6369,Positive,United States of America
"I would bring up a physical health issue if I felt it would affect my ability to work a ""normal schedule"" or if it was obvious (better to discuss openly than to have them make assumptions).",I would be unlikely to bring up a mental health issue in an interview unless I believed the interviewer was likely to already know about it (e.g. if I previously knew the interviewer and mental health had come up as a topic of discussion).,,,,,"At several previous jobs, I had ""work friends"" who I confided in and was open with about my mental health and the things that caused me anxiety.","I've had coworkers discuss mental health issues privately, but I don't recall any specific conversations.",,,,would bring physical health issue felt would affect ability work normal schedule obvious better discus openly make assumption,would unlikely bring mental health issue interview unless believed interviewer likely already know eg previously knew interviewer mental health come topic discussion,,,,,several previous job work friend confided open mental health thing caused anxiety,ive coworkers discus mental health issue privately dont recall specific conversation,,,,would bring physical health issue felt would affect ability work normal schedule obvious better discus openly make assumption would unlikely bring mental health issue interview unless believed interviewer likely already know eg previously knew interviewer mental health come topic discussion     several previous job work friend confided open mental health thing caused anxiety ive coworkers discus mental health issue privately dont recall specific conversation   ,0.7717,Positive,United States of America
"One has to be upfront about one's needs and expectations, in order to get an appropriate and  accommodating job. Of course it helps me to be able to say this, that I am a non-minority software engineer in high demand.","Same reason as above, you have to level-set about expectations and needs. But mental health issues are tricker, and some interviewers may make judgements, so it feels harder to discuss.","We talk a lot about work-life balance, stress, workload, making sure we take enough time off/family time, etc. He is very supportive of thus.",,,,,,"Focus more on work/life balance, people who overwork and the teams that encourage this, try to provide support for the whole person (physical, intellectual, mental, etc)",,No,one upfront one need expectation order get appropriate accommodating job course help able say nonminority software engineer high demand,reason levelset expectation need mental health issue tricker interviewer may make judgement feel harder discus,talk lot worklife balance stress workload making sure take enough time offfamily time etc supportive thus,,,,,,focus worklife balance people overwork team encourage try provide support whole person physical intellectual mental etc,,,one upfront one need expectation order get appropriate accommodating job course help able say nonminority software engineer high demand reason levelset expectation need mental health issue tricker interviewer may make judgement feel harder discus talk lot worklife balance stress workload making sure take enough time offfamily time etc supportive thus      focus worklife balance people overwork team encourage try provide support whole person physical intellectual mental etc  ,0.8834,Positive,United States of America
I would bring it up because I am comfortable talking about it.,I am afraid that my mental health disorder can prevent me from a job or I could be looked as a worse candidate compared to others.,,"I told them about my visual snow, and they told me about their anxiety-related disorders. It was interesting to know I was not the only one having anxiety-related issues.",They told me about their anxiety and depression problems.,,,,"Understand employees/job candidates who have mental health problems and learn to work with their abilities. I feel like employers today are entirely focused on production, and if the person has problems that could affect their quantity of production, employers have no problem getting rid of them or not hiring them.",,Spread awareness about visual snow. You can learn more if you look up Visual Snow Initiative.,would bring comfortable talking,afraid mental health disorder prevent job could looked worse candidate compared others,,told visual snow told anxietyrelated disorder interesting know one anxietyrelated issue,told anxiety depression problem,,,,understand employeesjob candidate mental health problem learn work ability feel like employer today entirely focused production person problem could affect quantity production employer problem getting rid hiring,,spread awareness visual snow learn look visual snow initiative,would bring comfortable talking afraid mental health disorder prevent job could looked worse candidate compared others  told visual snow told anxietyrelated disorder interesting know one anxietyrelated issue told anxiety depression problem    understand employeesjob candidate mental health problem learn work ability feel like employer today entirely focused production person problem could affect quantity production employer problem getting rid hiring  spread awareness visual snow learn look visual snow initiative,-0.8722,Negative,United States of America
"It's not relevant to my employability and is none of my potential employer's business. I would be concerned about unconscious bias in their decision making if I brought it up. If it were relevant, in that it would prevent me from performing job functions, it's unlikely I'd be applying for the job. ","Same answer as above, with the addition of there being deep cultural stigma toward those with mental illness. ",I informed my manager that I'd need to adjust my working hours on a certain day of the week to attend a recurring therapy appointment. She was 100% supportive of the plan and my treatment.,We have a Slack channel dedicated to discussing and supporting others in our company with mental health issues. It's a very positive and empathetic environment.,An employee at our company recently took a leave of absence due to mental health issues. He communicated what was going on via our mental health Slack channel.,,,A coworker who was a close friend asked me for a recommendation to a therapist. She was having problems with substance abuse.,"More generous leave policies for employees dealing with mental health issues. Ability for employees to take leave to care for friends in crisis, not just family members. Many employees in the tech industry do not have families but still have close friends who need their support too.","Although my previous employer had very supportive policies when it came to workers dealing with mental health issues, I observed conversations amongst the managers of these people that suggested the managers did not always believe the individual was honest. ",,relevant employability none potential employer business would concerned unconscious bias decision making brought relevant would prevent performing job function unlikely id applying job,answer addition deep cultural stigma toward mental illness,informed manager id need adjust working hour certain day week attend recurring therapy appointment supportive plan treatment,slack channel dedicated discussing supporting others company mental health issue positive empathetic environment,employee company recently took leave absence due mental health issue communicated going via mental health slack channel,,,coworker close friend asked recommendation therapist problem substance abuse,generous leave policy employee dealing mental health issue ability employee take leave care friend crisis family member many employee tech industry family still close friend need support,although previous employer supportive policy came worker dealing mental health issue observed conversation amongst manager people suggested manager always believe individual honest,,relevant employability none potential employer business would concerned unconscious bias decision making brought relevant would prevent performing job function unlikely id applying job answer addition deep cultural stigma toward mental illness informed manager id need adjust working hour certain day week attend recurring therapy appointment supportive plan treatment slack channel dedicated discussing supporting others company mental health issue positive empathetic environment employee company recently took leave absence due mental health issue communicated going via mental health slack channel   coworker close friend asked recommendation therapist problem substance abuse generous leave policy employee dealing mental health issue ability employee take leave care friend crisis family member many employee tech industry family still close friend need support although previous employer supportive policy came worker dealing mental health issue observed conversation amongst manager people suggested manager always believe individual honest ,0.9764,Positive,United States of America
,,,,,I was working in a glass factory (working swing shift) when I was dealing with symptoms of bipolar disorder. The nurse kept everything confidential and provided me resources to get the help I needed including time off from work as needed.,,,"Some employers are really good about letting people know about the physical health benefits they get from insurance, but they neglect the mental health benefits. At a previous job (not tech related) there were services available for mental health that I didn't find out about until I had an anxiety attack at work. Had I known about the services that were available, I could have gotten the help I needed before my work performance was effected.",,,,,,,,working glass factory working swing shift dealing symptom bipolar disorder nurse kept everything confidential provided resource get help needed including time work needed,,,employer really good letting people know physical health benefit get insurance neglect mental health benefit previous job tech related service available mental health didnt find anxiety attack work known service available could gotten help needed work performance effected,,,     working glass factory working swing shift dealing symptom bipolar disorder nurse kept everything confidential provided resource get help needed including time work needed   employer really good letting people know physical health benefit get insurance neglect mental health benefit previous job tech related service available mental health didnt find anxiety attack work known service available could gotten help needed work performance effected  ,0.8993,Positive,United States of America
Only if it might impact my ability to do the job I was interviewing for,I would bring it up within the context of determining what resources they had available for those with mental health issues.  I have mental health issues and would want to ensure there was support in place should I need it.,"I have discussed my mental health with my employer several times, both in the context of needing help and in the context of making sure it's not impacting my work.  

In the first case I was encouraged to take some time off and given information about our EAP.  In the second I was assured that my mental health was not impacting my work as far as they could tell and that they would be sure to tell me if it was.",We have a slack channel #interests-mental-hlth where mental health issues are discussed daily in a judgement free and safe space.  It's pretty amazing.,,,,,"Talk about it, destroy the stigma and give people resources to cope.",I've seen people who suffered from depression and substance abuse issues be fired on the spot for failing to handle their problems.  It wasn't pretty.,Thanks for doing this research!,might impact ability job interviewing,would bring within context determining resource available mental health issue mental health issue would want ensure support place need,discussed mental health employer several time context needing help context making sure impacting work first case encouraged take time given information eap second assured mental health impacting work far could tell would sure tell,slack channel interestsmentalhlth mental health issue discussed daily judgement free safe space pretty amazing,,,,,talk destroy stigma give people resource cope,ive seen people suffered depression substance abuse issue fired spot failing handle problem wasnt pretty,thanks research,might impact ability job interviewing would bring within context determining resource available mental health issue mental health issue would want ensure support place need discussed mental health employer several time context needing help context making sure impacting work first case encouraged take time given information eap second assured mental health impacting work far could tell would sure tell slack channel interestsmentalhlth mental health issue discussed daily judgement free safe space pretty amazing     talk destroy stigma give people resource cope ive seen people suffered depression substance abuse issue fired spot failing handle problem wasnt pretty thanks research,0.7902,Positive,United States of America
If it's going to effect my day to day,I would need to know they're going to be understanding,,,,Was always very positive because they had similar issues. Would allow me to take time for myself if needed.,Typically it was very positive reactions.,We were all under a lot of stress. Typically this was just frustration and anxiety venting over beers.,Would be nice to see more companies actively pushing employees to take time for themselves.,,,going effect day day,would need know theyre going understanding,,,,always positive similar issue would allow take time needed,typically positive reaction,lot stress typically frustration anxiety venting beer,would nice see company actively pushing employee take time,,,going effect day day would need know theyre going understanding    always positive similar issue would allow take time needed typically positive reaction lot stress typically frustration anxiety venting beer would nice see company actively pushing employee take time  ,0.765,Positive,United States of America
"It doesn't seem relevant to the job. Also, I am currently not experiencing any physical health issues.","It really depends. Likely, I would say that I wouldn't because it would be irrelevant to the job. I may be curious about how their health benefits include mental health and how work schedules could be flexible around it, however.",,,,"It was a very open and honest conversation and my direct supervisor had similar issues and concerns. Overall it was very much accommodating and accepting, though I would still say there was a lack of in office resources to deal with it other than just time off from work or working from home when needed.","Open and honest about issues we were having. We didn't delve into details about why or what, but just that we had some issues we were continually working on. We supported each other through them as needed, but also left as much space and openness as we could.",,"I'm not sure how to judge the entire industry. I feel that some companies completely ignore it from a historical lack of admitting emotions in the work environment and others allow employees to take time off, work from home, have less structured days/offices to help. It is really split high/low.","I think people just try to use it as an excuse to gossip about other people and try to demean them. They don't need to make allowances necessarily, but they should respect that other person regardless and understand their perspective. Often, comments about others' mental health comes from a lack of emotion in the work place in general.",,doesnt seem relevant job also currently experiencing physical health issue,really depends likely would say wouldnt would irrelevant job may curious health benefit include mental health work schedule could flexible around however,,,,open honest conversation direct supervisor similar issue concern overall much accommodating accepting though would still say lack office resource deal time work working home needed,open honest issue didnt delve detail issue continually working supported needed also left much space openness could,,im sure judge entire industry feel company completely ignore historical lack admitting emotion work environment others allow employee take time work home less structured daysoffices help really split highlow,think people try use excuse gossip people try demean dont need make allowance necessarily respect person regardless understand perspective often comment others mental health come lack emotion work place general,,doesnt seem relevant job also currently experiencing physical health issue really depends likely would say wouldnt would irrelevant job may curious health benefit include mental health work schedule could flexible around however    open honest conversation direct supervisor similar issue concern overall much accommodating accepting though would still say lack office resource deal time work working home needed open honest issue didnt delve detail issue continually working supported needed also left much space openness could  im sure judge entire industry feel company completely ignore historical lack admitting emotion work environment others allow employee take time work home less structured daysoffices help really split highlow think people try use excuse gossip people try demean dont need make allowance necessarily respect person regardless understand perspective often comment others mental health come lack emotion work place general ,0.9568,Positive,United Kingdom
