Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
"If it doesn't stop me from doing the job, then it's unimportant. However, I'd be worried about being remembered as the ""candidate with the physical issue.""",I don't want to sound like a problem child!,"My supervisor was dumbfounded the first time he observed me during a (job-related) anxiety attack when I completely forgot how to do something simple and routine. He spent two hours asking me leading questions to help me solve my problem instead of gently reminding me. I thought I was going to cry. He said ""what can I do to help you"", made a few suggestions, faked empathy. And then fired me three months later after creating a performance plan that was impossible to complete successfully. ","Me to my coworker: something about depression, anxiety, imposter syndrome, feeling inadequate, how it physically manifests itself daily. I feel like this job may kill me.
My coworker, back to me: Oh, yes. That happens to me too (anxiety/depression/imposter syndrome/feeling inadequate).
me back to coworker: Boss dishes out the stress, definitely. Can you imagine the insane amount of stress he's under? Does he ever sleep? ","my coworker/good friend was describing how sad she was feeling after several traumatic events in rapid succession and bad turn of events at work. I finally said, ""This is my therapist's number, call her and ask about happy pills. I take them, they help me. I hope they help you too.""",Explained to my boss that I had to pause in the middle of a late night deployment because I was physically ill with worry that the deploy was going to break in a spectactular manner and I wouldn't be able to quickly fix it. I had no idea at the time that this is anxiety. I'm sure my boss knew.,"Discussing imposter syndrome, feeling like you can't take a break, nothing gets done fast enough.
The response from my coworker was a lot of ""oh yea, me too""
",,Stop CRUSHING PEOPLE WITH RIDICULOUS DEADLINES! ,"Anxiety had taken over, and I could not think straight. I couldn't remember all the extremely different things I needed to know cold for my new job. I had an anxiety attack in front of my boss. 

All this happened AFTER the company I worked for had their annual ""year start"" gathering in SFO. When it became apparent that I have anxiety, and it was interfering with my ability to complete tasks, my boss put me on a PIP that was impossible to achieve. I missed one task that was unclear the first week, and that was grounds enough for them to fire me. They paid me severance, offered me a ""soft landing"".

I now realize getting fired was probably a good thing.  However, at the time I made it clear I was not giving up and admitting defeat. The company I worked for, who champions mental health issues! No stigma! Open discussion! When I broke down and told my boss about my anxiety during a 1:1 and several questions had been posed (the answer to most was ""because of my anxiety""), he probably made the decision right there that he wasn't going to keep me because I was a pain to deal with. ",,doesnt stop job unimportant however id worried remembered candidate physical issue,dont want sound like problem child,supervisor dumbfounded first time observed jobrelated anxiety attack completely forgot something simple routine spent two hour asking leading question help solve problem instead gently reminding thought going cry said help made suggestion faked empathy fired three month later creating performance plan impossible complete successfully,coworker something depression anxiety imposter syndrome feeling inadequate physically manifest daily feel like job may kill coworker back oh yes happens anxietydepressionimposter syndromefeeling inadequate back coworker bos dish stress definitely imagine insane amount stress he ever sleep,coworkergood friend describing sad feeling several traumatic event rapid succession bad turn event work finally said therapist number call ask happy pill take help hope help,explained bos pause middle late night deployment physically ill worry deploy going break spectactular manner wouldnt able quickly fix idea time anxiety im sure bos knew,discussing imposter syndrome feeling like cant take break nothing get done fast enough response coworker lot oh yea,,stop crushing people ridiculous deadline,anxiety taken could think straight couldnt remember extremely different thing needed know cold new job anxiety attack front bos happened company worked annual year start gathering sfo became apparent anxiety interfering ability complete task bos put pip impossible achieve missed one task unclear first week ground enough fire paid severance offered soft landing realize getting fired probably good thing however time made clear giving admitting defeat company worked champion mental health issue stigma open discussion broke told bos anxiety several question posed answer anxiety probably made decision right wasnt going keep pain deal,,doesnt stop job unimportant however id worried remembered candidate physical issue dont want sound like problem child supervisor dumbfounded first time observed jobrelated anxiety attack completely forgot something simple routine spent two hour asking leading question help solve problem instead gently reminding thought going cry said help made suggestion faked empathy fired three month later creating performance plan impossible complete successfully coworker something depression anxiety imposter syndrome feeling inadequate physically manifest daily feel like job may kill coworker back oh yes happens anxietydepressionimposter syndromefeeling inadequate back coworker bos dish stress definitely imagine insane amount stress he ever sleep coworkergood friend describing sad feeling several traumatic event rapid succession bad turn event work finally said therapist number call ask happy pill take help hope help explained bos pause middle late night deployment physically ill worry deploy going break spectactular manner wouldnt able quickly fix idea time anxiety im sure bos knew discussing imposter syndrome feeling like cant take break nothing get done fast enough response coworker lot oh yea  stop crushing people ridiculous deadline anxiety taken could think straight couldnt remember extremely different thing needed know cold new job anxiety attack front bos happened company worked annual year start gathering sfo became apparent anxiety interfering ability complete task bos put pip impossible achieve missed one task unclear first week ground enough fire paid severance offered soft landing realize getting fired probably good thing however time made clear giving admitting defeat company worked champion mental health issue stigma open discussion broke told bos anxiety several question posed answer anxiety probably made decision right wasnt going keep pain deal ,-0.9846,Negative,Poland
I avoid all topics of health in an interview.,I try to avoid all health related topics in interviews,"I have had to deal with my reaction to my wife's Bipolar/Suicidal Ideation, and had to take time off due to it inflaming my Anxiety and Depression. I received wonderful support.","We've talked about our various problems, and people have been very accepting. But I am still somewhat careful. More and more as I get older I've stopped caring about the stigma, but I am worried about consequences. Lately, people have been very supportive.",We had a group of friends with mental health issues that would commiserate and cover for one another.,,We had a group of people who acted as kinda of a support group.,We had a nice little support group that we would check on each other.,"I think the high pressure drive in many orgs, like startups, do very poorly. Established companies in the Fortune 500 do better. Fortune 500 companies outside of Tech that have a big tech footprint do the best.",,"In the 20 years or so I've spent in tech I have noticed an improvement. Startups are still bad, but the corporate world is very concerned due to burnout, productivity, and probably lawsuits.",avoid topic health interview,try avoid health related topic interview,deal reaction wife bipolarsuicidal ideation take time due inflaming anxiety depression received wonderful support,weve talked various problem people accepting still somewhat careful get older ive stopped caring stigma worried consequence lately people supportive,group friend mental health issue would commiserate cover one another,,group people acted kinda support group,nice little support group would check,think high pressure drive many orgs like startup poorly established company fortune better fortune company outside tech big tech footprint best,,year ive spent tech noticed improvement startup still bad corporate world concerned due burnout productivity probably lawsuit,avoid topic health interview try avoid health related topic interview deal reaction wife bipolarsuicidal ideation take time due inflaming anxiety depression received wonderful support weve talked various problem people accepting still somewhat careful get older ive stopped caring stigma worried consequence lately people supportive group friend mental health issue would commiserate cover one another  group people acted kinda support group nice little support group would check think high pressure drive many orgs like startup poorly established company fortune better fortune company outside tech big tech footprint best  year ive spent tech noticed improvement startup still bad corporate world concerned due burnout productivity probably lawsuit,0.9455,Positive,United Kingdom
It could affect my ability to reach their expectations and make work harder.,It could affect my ability to do the work and meet expectations.,,,"Very high level with little details, more just about how it affected them at work",,,,"Stop pushing for insane deadlines and making people stress to extreme levels about everything they do. Push when it is needed, but be flexible. Plan for delays to be possible. Listen to the tech people and their reasonings. Let them find their pace and work to it.",,,could affect ability reach expectation make work harder,could affect ability work meet expectation,,,high level little detail affected work,,,,stop pushing insane deadline making people stress extreme level everything push needed flexible plan delay possible listen tech people reasoning let find pace work,,,could affect ability reach expectation make work harder could affect ability work meet expectation   high level little detail affected work    stop pushing insane deadline making people stress extreme level everything push needed flexible plan delay possible listen tech people reasoning let find pace work  ,-0.575,Negative,United Kingdom
"I have mild cerebral palsy. It's not obvious, and probably wouldn't come up in an interview. However, if I'm asked about it, I have no problem sharing.","I may ask HR about health services offered (mental and physical) but I probably wouldn't ask the person interviewing me, unless at the end of a longer interview process. In my experience, interviews tend to be more about the job role and how my skills and experience relate.","I told my team lead that I was feeling overwhelmed. He told me to take the rest of the day off (and the next one if I wanted), and reminded me that we have mental health services available.","We discuss the difficulties we've faced, especially regarding pressures around uninformed timelines and lack of support from dependent teams. Reactions are generally supportive, and usually the advice I get/give is to talk to your manager about the workload, raise issues that are impeding the work, and above all, breathe. Work/life balance is tough to achieve, and work and life are not inherently separate, but priorities and boundaries need to be set.","I had a coworker confide in me that her manager was being unnecessarily overbearing and that the team wasn't sharing the workload equally. I suggested we get lunch outside of work, and there I asked if she was looking to move to a different team (I'm familiar with the team she was currently on). She has moved to a different team and says she is much more content.",,,,"Include mental health services in employee benefits if they're not included already, and emphasize them if they are. On a team level, managers should be trained in recognizing and responding to mental health issues in direct reports, and assist them in maintaining a work/life balance. If the budget allows, team bonding events and other breaks are always welcome.","I went to a manager at a previous employer with a concern, and I was told it's all in my head and that I should just get over it.",,mild cerebral palsy obvious probably wouldnt come interview however im asked problem sharing,may ask hr health service offered mental physical probably wouldnt ask person interviewing unless end longer interview process experience interview tend job role skill experience relate,told team lead feeling overwhelmed told take rest day next one wanted reminded mental health service available,discus difficulty weve faced especially regarding pressure around uninformed timeline lack support dependent team reaction generally supportive usually advice getgive talk manager workload raise issue impeding work breathe worklife balance tough achieve work life inherently separate priority boundary need set,coworker confide manager unnecessarily overbearing team wasnt sharing workload equally suggested get lunch outside work asked looking move different team im familiar team currently moved different team say much content,,,,include mental health service employee benefit theyre included already emphasize team level manager trained recognizing responding mental health issue direct report assist maintaining worklife balance budget allows team bonding event break always welcome,went manager previous employer concern told head get,,mild cerebral palsy obvious probably wouldnt come interview however im asked problem sharing may ask hr health service offered mental physical probably wouldnt ask person interviewing unless end longer interview process experience interview tend job role skill experience relate told team lead feeling overwhelmed told take rest day next one wanted reminded mental health service available discus difficulty weve faced especially regarding pressure around uninformed timeline lack support dependent team reaction generally supportive usually advice getgive talk manager workload raise issue impeding work breathe worklife balance tough achieve work life inherently separate priority boundary need set coworker confide manager unnecessarily overbearing team wasnt sharing workload equally suggested get lunch outside work asked looking move different team im familiar team currently moved different team say much content    include mental health service employee benefit theyre included already emphasize team level manager trained recognizing responding mental health issue direct report assist maintaining worklife balance budget allows team bonding event break always welcome went manager previous employer concern told head get ,0.7796,Positive,United States of America
Worried it would affect my hiring,Worried it would affect my hiring,Was signed off sick by doctor. Employer just wanted to know when I would be back at work.,,,Threatened with job loss,,,treat mental illness like physical illness,Person was bullied into leaving,You've not asked about disabilities such as ASD,worried would affect hiring,worried would affect hiring,signed sick doctor employer wanted know would back work,,,threatened job loss,,,treat mental illness like physical illness,person bullied leaving,youve asked disability asd,worried would affect hiring worried would affect hiring signed sick doctor employer wanted know would back work   threatened job loss   treat mental illness like physical illness person bullied leaving youve asked disability asd,-0.946,Negative,United Kingdom
Not a problem. ,More likely to be stigmatised. ,,"I wrote a blog about mental health and well-being while travelling, and shared it generally, leading to many responses. ",I'm on a mailing list where people share their experiences quite frequently. ,,Dealing with stress and burnout. ,A colleague was suffering from depression and we spent several occasions chatting as part of her support network.,"Talk more, more visibility at conferences. ",,,problem,likely stigmatised,,wrote blog mental health wellbeing travelling shared generally leading many response,im mailing list people share experience quite frequently,,dealing stress burnout,colleague suffering depression spent several occasion chatting part support network,talk visibility conference,,,problem likely stigmatised  wrote blog mental health wellbeing travelling shared generally leading many response im mailing list people share experience quite frequently  dealing stress burnout colleague suffering depression spent several occasion chatting part support network talk visibility conference  ,-0.7402,Negative,United States of America
,why,,supporting,productive,,,,,,,,,,supporting,productive,,,,,,,   supporting productive      ,0.4404,Positive,Canada
"Because i fear this will affect how i look, in an interview i tend to bring my 100% healthy me.","I tend to bring my 100% healthy, it might cause me to lose this job if i really want it.
I do know inside that if someone do not accept me for a job because of physical/mental health issue/disorder i would not work for them at all, but still, my instincts will not let me reveal it at that point.","I have an ADHD as well as past with Eating Disorder (treated for about 8 years), they are aware of it, i made them aware of it because i know sometimes it can affect my work so they will know as well as how i cope with my ADHD with their help (work from home, isolated office, etc.)
All of my ex-employees were aware of it and all of them really accepted it with no problems at all.","How ADHD affect me and my past with Eating Disorder and how i manage it those days, those conversations usually comes up around lunch breaks, to my surprise (or not), i wasn't the only one coping with it and also discovered that my ex-boss which i really admire has an ongoing disorder as well, that made me admire him even more.","About undiagnosed depression, i felt that something going on and strarted a small chat which lead do it.",Same as the one i have now,"It's an ongoing conversations during lunch breaks mostly, when most of us gather together, it always surprise me how 90% of people cope with some sort of mental health disorders/issues.","When one of my ex coworkers has been absent from work for about a month and then came for a visit at the office, like a different person (accompanied by his mother), we all had questions but no one asked him directly about it, we just talked between us","More awareness, it's a topic that never being discussed, we know it's there, everyone know, but nobody talks about it, at least not from the management perspective.",,You guys are awesome :),fear affect look interview tend bring healthy,tend bring healthy might cause lose job really want know inside someone accept job physicalmental health issuedisorder would work still instinct let reveal point,adhd well past eating disorder treated year aware made aware know sometimes affect work know well cope adhd help work home isolated office etc exemployees aware really accepted problem,adhd affect past eating disorder manage day conversation usually come around lunch break surprise wasnt one coping also discovered exboss really admire ongoing disorder well made admire even,undiagnosed depression felt something going strarted small chat lead,one,ongoing conversation lunch break mostly u gather together always surprise people cope sort mental health disordersissues,one ex coworkers absent work month came visit office like different person accompanied mother question one asked directly talked u,awareness topic never discussed know everyone know nobody talk least management perspective,,guy awesome,fear affect look interview tend bring healthy tend bring healthy might cause lose job really want know inside someone accept job physicalmental health issuedisorder would work still instinct let reveal point adhd well past eating disorder treated year aware made aware know sometimes affect work know well cope adhd help work home isolated office etc exemployees aware really accepted problem adhd affect past eating disorder manage day conversation usually come around lunch break surprise wasnt one coping also discovered exboss really admire ongoing disorder well made admire even undiagnosed depression felt something going strarted small chat lead one ongoing conversation lunch break mostly u gather together always surprise people cope sort mental health disordersissues one ex coworkers absent work month came visit office like different person accompanied mother question one asked directly talked u awareness topic never discussed know everyone know nobody talk least management perspective  guy awesome,0.9117,Positive,United Kingdom
I would not want to eliminate myself from contention when there is not now any issue.,"Again, why take the chance you would be eliminated because of your condition. I don't trust HR to hire people even if their mental health condition is treated and stable.",,"Coworkers were sympathetic when they heard about high stress, lack of sleep, etc. ","Stress levels, drugs they took for mental health, and their current feelings about work and life.",,Stress and bad sleep; they were sympathetic and understanding.,"They described their ability to deal with what life threw at them in terms of work, family, relationships, and friends. This included details about living conditions and running out of money.",Raise the issue and reality of the level of mental health problems and the availability of help and treatment.,I had a colleague with an alcohol problem that I did not recognize for a long time.,"I am not qualified to identify mental health issues, yet I know they are real. I feel uncomfortable speaking to colleagues about their mental health because I am untrained in the best ways to be helpful.",would want eliminate contention issue,take chance would eliminated condition dont trust hr hire people even mental health condition treated stable,,coworkers sympathetic heard high stress lack sleep etc,stress level drug took mental health current feeling work life,,stress bad sleep sympathetic understanding,described ability deal life threw term work family relationship friend included detail living condition running money,raise issue reality level mental health problem availability help treatment,colleague alcohol problem recognize long time,qualified identify mental health issue yet know real feel uncomfortable speaking colleague mental health untrained best way helpful,would want eliminate contention issue take chance would eliminated condition dont trust hr hire people even mental health condition treated stable  coworkers sympathetic heard high stress lack sleep etc stress level drug took mental health current feeling work life  stress bad sleep sympathetic understanding described ability deal life threw term work family relationship friend included detail living condition running money raise issue reality level mental health problem availability help treatment colleague alcohol problem recognize long time qualified identify mental health issue yet know real feel uncomfortable speaking colleague mental health untrained best way helpful,0.4401,Positive,United States of America
Maybe I cannot get the job because in Turkey employers want slaves instead of employees and if you are sick in their eyes your not very efficient,same reason with the previous one and moreover in underdeveloped countries you can be judged or labeled as crazy (unfortunately),,,,,,,,,,maybe get job turkey employer want slave instead employee sick eye efficient,reason previous one moreover underdeveloped country judged labeled crazy unfortunately,,,,,,,,,,maybe get job turkey employer want slave instead employee sick eye efficient reason previous one moreover underdeveloped country judged labeled crazy unfortunately         ,-0.6124,Negative,United States of America
as long as it does not affect my work i dont bring it up,dont know,,we talked about what it does to us if we work too much. how we are affected when having a lot of stress,we talked about what it does to us if we work too much. how we are affected when having a lot of stress,i was diagnosed with a boreout. and when i told my empolyer he was very understandable and helpful. we figured out a plan which was good for both,,,i dont think it is an industry issue. it is a problem everywhere,,honestly i dont think this survey is very good. a lot of questions are hypothetical and there are too many factors weighing in on giving an accurate answer. ,long affect work dont bring,dont know,,talked u work much affected lot stress,talked u work much affected lot stress,diagnosed boreout told empolyer understandable helpful figured plan good,,,dont think industry issue problem everywhere,,honestly dont think survey good lot question hypothetical many factor weighing giving accurate answer,long affect work dont bring dont know  talked u work much affected lot stress talked u work much affected lot stress diagnosed boreout told empolyer understandable helpful figured plan good   dont think industry issue problem everywhere  honestly dont think survey good lot question hypothetical many factor weighing giving accurate answer,0.5423,Positive,United States of America
If could impact negatively my chances of getting a job.,"I fear it would lower my chances to get a job.  I would however poke at their level of accommodation for mental health issue, and a smart interviewer would understand I need such accommodations.","I discussed having burnout in the past, but only after having a full time contract (I had a temporary contract before).

No specific follow-up actions.","I discussed having burnout in the past.
No special reactions.","Not much to say really, discussed about struggling with anxiety, stress or OCD.","I discussed being burned-out.

Their reaction was not very supportive, I was once told I should not get myself sick because of work (I associate this for a form of survivor bias).","I discussed by burnout.

Their reaction was to realise that they lived through a similar things themselves in the past and somehow managed to fix things.","When sharing details about my burnout, they shared details about similar things they experienced in the past, and this allowed them to realise that they themselves burned-out in the past (it was a blind-spot for them until then).","Talk about stress in 1-on-1 conversation, especially for on-call people.

Stop bull-shit slogan ""fast moving startup and comfort does not go together"".",Telling me I should not get myself sick because of work (burnout).  I associate this to a form of survivor bias.,Thanks for that great work.,could impact negatively chance getting job,fear would lower chance get job would however poke level accommodation mental health issue smart interviewer would understand need accommodation,discussed burnout past full time contract temporary contract specific followup action,discussed burnout past special reaction,much say really discussed struggling anxiety stress ocd,discussed burnedout reaction supportive told get sick work associate form survivor bias,discussed burnout reaction realise lived similar thing past somehow managed fix thing,sharing detail burnout shared detail similar thing experienced past allowed realise burnedout past blindspot,talk stress conversation especially oncall people stop bullshit slogan fast moving startup comfort go together,telling get sick work burnout associate form survivor bias,thanks great work,could impact negatively chance getting job fear would lower chance get job would however poke level accommodation mental health issue smart interviewer would understand need accommodation discussed burnout past full time contract temporary contract specific followup action discussed burnout past special reaction much say really discussed struggling anxiety stress ocd discussed burnedout reaction supportive told get sick work associate form survivor bias discussed burnout reaction realise lived similar thing past somehow managed fix thing sharing detail burnout shared detail similar thing experienced past allowed realise burnedout past blindspot talk stress conversation especially oncall people stop bullshit slogan fast moving startup comfort go together telling get sick work burnout associate form survivor bias thanks great work,-0.1042,Negative,United States of America
"I feel it's not relevant for applying jobs, as my work should be what defines my chance for getting a job.","I feel it's not relevant for applying jobs, as my work should be what defines my chance for getting a job.","we talked about depression, and that I went to counselling, and that I needed time of for that. And that was not a problem, and that I should let them know if there where something they could do to help.",,,"Talked about depression and counselling, and that I needed time off for that. That was not a problem for either of my previous employers.",,,"Talk more about it, but it on the agenda.","It's mostly in normal chats/talks, where people use words that can be hurtful or misused.",,feel relevant applying job work defines chance getting job,feel relevant applying job work defines chance getting job,talked depression went counselling needed time problem let know something could help,,,talked depression counselling needed time problem either previous employer,,,talk agenda,mostly normal chatstalks people use word hurtful misused,,feel relevant applying job work defines chance getting job feel relevant applying job work defines chance getting job talked depression went counselling needed time problem let know something could help   talked depression counselling needed time problem either previous employer   talk agenda mostly normal chatstalks people use word hurtful misused ,-0.8885,Negative,Austria
It depends on the relation I feel I have with the interviewer.,Depends on the relation I have with the interviewer,,"I described having a tough time for the last months, struggling to sleep, relax and concentrate. Their reactions was supporting and understanding.","They talked about their own mental health, going to their psychiatrist, burn out and how their recovery was going. ",,,,,,,depends relation feel interviewer,depends relation interviewer,,described tough time last month struggling sleep relax concentrate reaction supporting understanding,talked mental health going psychiatrist burn recovery going,,,,,,,depends relation feel interviewer depends relation interviewer  described tough time last month struggling sleep relax concentrate reaction supporting understanding talked mental health going psychiatrist burn recovery going      ,0.3612,Positive,United States of America
chyf,chhc,,,,ge,dh,rshth,hjhjhhj,cjhh,hjhv,chyf,chhc,,,,ge,dh,rshth,hjhjhhj,cjhh,hjhv,chyf chhc    ge dh rshth hjhjhhj cjhh hjhv,0,Neutral,United States of America
,stigma,,,,,,,remove the stigma,,,,stigma,,,,,,,remove stigma,,, stigma       remove stigma  ,0,Neutral,United States of America
,I would be scared it would result in me not getting the position,,,,,,,,,,,would scared would result getting position,,,,,,,,,, would scared would result getting position         ,-0.4404,Negative,Germany
Shouldn’t be a factor for employment,Shouldn’t be a factor for employment,,,,,,,Awareness of insurance benefits and good policy around mental health communicated,,,shouldnt factor employment,shouldnt factor employment,,,,,,,awareness insurance benefit good policy around mental health communicated,,,shouldnt factor employment shouldnt factor employment       awareness insurance benefit good policy around mental health communicated  ,0.7096,Positive,United States of America
ADA requires accommodations. No need to disclose until after receiving an offer.,,,,,,,,,,,ada requires accommodation need disclose receiving offer,,,,,,,,,,,ada requires accommodation need disclose receiving offer          ,0,Neutral,United States of America
It really depends on what that physical issue is. I have a uterus and would feel uncomfortable bringing up any issues I have related to that in the workplace.,I would be worried that it would affect my ability to get a job.,,,,,I mentioned anxiety in passing and they were pretty supportive and even offered me some tips based on what works for them. ,,"I think that the industry could offer more resources for mental health support. The industry could also just talk more about it, in order to break stigma.",,,really depends physical issue uterus would feel uncomfortable bringing issue related workplace,would worried would affect ability get job,,,,,mentioned anxiety passing pretty supportive even offered tip based work,,think industry could offer resource mental health support industry could also talk order break stigma,,,really depends physical issue uterus would feel uncomfortable bringing issue related workplace would worried would affect ability get job     mentioned anxiety passing pretty supportive even offered tip based work  think industry could offer resource mental health support industry could also talk order break stigma  ,0.5994,Positive,United States of America
Fear of potential employment due to pre-existing health problems. Working in the US sucks,"Again, potential loss of employment",,,,,,Intimate details that I would never consider sharing with a coworker,"I don't really know specifically in the Tech industry, since I work in health care, I feel it is approached in the right way if that makes sense?",,,fear potential employment due preexisting health problem working u suck,potential loss employment,,,,,,intimate detail would never consider sharing coworker,dont really know specifically tech industry since work health care feel approached right way make sense,,,fear potential employment due preexisting health problem working u suck potential loss employment      intimate detail would never consider sharing coworker dont really know specifically tech industry since work health care feel approached right way make sense  ,-0.8493,Negative,United States of America
"It would depend on what the issue was, how likely I thought it was to impact my job performance, and whether I thought discussing it would damage my chances to get the job.",I try to mention ADHD during interviews just to get that information out there. It also helps fill in some gaps in my education and job history.,During my interview I mentioned that I have ADHD and that I consider it well controlled. There was no significant reaction or follow-up as I recall.,Have casually mentioned having ADHD on a couple of occasions. Very little reaction.,,"Brief mentions that I have ADHD. Occasionally I thought I picked up on a sense that I was using that as an excuse, but if that attitude was actually present nobody ever said it explicitly.",Once a coworker told me about some difficulties he was having that reminded me of some issues I've struggled with and I suggested he get evaluated for ADHD. I don't know if he did.,Once a coworker described some issues he was having that reminded me of some things I've dealt with and I suggested he get evaluated for ADHD. I don't know whether he did.,We could stop fetishizing unhealthy behaviors that seem productive in the short term.,,,would depend issue likely thought impact job performance whether thought discussing would damage chance get job,try mention adhd interview get information also help fill gap education job history,interview mentioned adhd consider well controlled significant reaction followup recall,casually mentioned adhd couple occasion little reaction,,brief mention adhd occasionally thought picked sense using excuse attitude actually present nobody ever said explicitly,coworker told difficulty reminded issue ive struggled suggested get evaluated adhd dont know,coworker described issue reminded thing ive dealt suggested get evaluated adhd dont know whether,could stop fetishizing unhealthy behavior seem productive short term,,,would depend issue likely thought impact job performance whether thought discussing would damage chance get job try mention adhd interview get information also help fill gap education job history interview mentioned adhd consider well controlled significant reaction followup recall casually mentioned adhd couple occasion little reaction  brief mention adhd occasionally thought picked sense using excuse attitude actually present nobody ever said explicitly coworker told difficulty reminded issue ive struggled suggested get evaluated adhd dont know coworker described issue reminded thing ive dealt suggested get evaluated adhd dont know whether could stop fetishizing unhealthy behavior seem productive short term  ,-0.6124,Negative,United States of America
,,,,,,,,Talk more opening and remove some of the stigma behind it.,,,,,,,,,,,talk opening remove stigma behind,,,        talk opening remove stigma behind  ,0,Neutral,United States of America
i don't know,"it's more stigma attached, and I don't want to deal with that","it was quite casual, my employer found several options for me to consider, but neither of them were satisfactory. he was understanding, and professional. we haven't spoken about it again in about a year, but I haven't felt the need to.","i was just talking about my anxiety, they were understanding and kind, and have somewhat helped me.","we talked about their anxiety and depression, I hope I were supportive enough",,,,"more openness, and that leaders/hr/those in charge learn more about mental health issues, that way they can help spread information and support.",,,dont know,stigma attached dont want deal,quite casual employer found several option consider neither satisfactory understanding professional havent spoken year havent felt need,talking anxiety understanding kind somewhat helped,talked anxiety depression hope supportive enough,,,,openness leadershrthose charge learn mental health issue way help spread information support,,,dont know stigma attached dont want deal quite casual employer found several option consider neither satisfactory understanding professional havent spoken year havent felt need talking anxiety understanding kind somewhat helped talked anxiety depression hope supportive enough    openness leadershrthose charge learn mental health issue way help spread information support  ,0.8386,Positive,United States of America
