Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,What country do you *work* in?
I would be worried that they wouldn't hire me.,I would be worried that they wouldn't hire me.,,,,,,,Create and foster support groups for employees.,Person was put on a PIP and eventually fired.,,would worried wouldnt hire,would worried wouldnt hire,,,,,,,create foster support group employee,person put pip eventually fired,,would worried wouldnt hire would worried wouldnt hire       create foster support group employee person put pip eventually fired ,-0.7281,Negative,Canada
Depends on how confident I am that they will accommodate for it,Depends on whether I deem it relevant to my job. I most likely would not because I would think it discounts me or others would not see the connection,,,Positive/constructive conversation about their suboptimal mental health,,,,,,,depends confident accommodate,depends whether deem relevant job likely would would think discount others would see connection,,,positiveconstructive conversation suboptimal mental health,,,,,,,depends confident accommodate depends whether deem relevant job likely would would think discount others would see connection   positiveconstructive conversation suboptimal mental health      ,0.4939,Positive,India
fear of not getting the job,fear of not getting the job,,,Trouble with supervisor,,,,offers for anonymous psychological counseling,,,fear getting job,fear getting job,,,trouble supervisor,,,,offer anonymous psychological counseling,,,fear getting job fear getting job   trouble supervisor    offer anonymous psychological counseling  ,-0.8442,Negative,Canada
the issue might not effect any productivity,It might result in lower productivity,,,,,,,Limit work timings strictly.,,,issue might effect productivity,might result lower productivity,,,,,,,limit work timing strictly,,,issue might effect productivity might result lower productivity       limit work timing strictly  ,-0.296,Negative,Sweden
depends on if issue would affect job,would likely ask questions relating to situations that might trigger issue,primarily venting anxiety.,mainly venting stress & anxiety,same as above,,shared stress & anxiety,same,developers are rarely treated as people...more like a code factory,,,depends issue would affect job,would likely ask question relating situation might trigger issue,primarily venting anxiety,mainly venting stress anxiety,,,shared stress anxiety,,developer rarely treated peoplemore like code factory,,,depends issue would affect job would likely ask question relating situation might trigger issue primarily venting anxiety mainly venting stress anxiety   shared stress anxiety  developer rarely treated peoplemore like code factory  ,-0.8131,Negative,United States of America
"I would bring up a physical health issue if it directly impacted my onboarding when hired. I would not bring up any health issue, physical or mental, if it did not directly impact the employer out of concern that it would impact their decision about my employability.",It would definitely impact their decision about my employability even if it had no bearing on that. There is too much stigma around mental health issues.,,Discussed past issues with anxiety. Did not discuss any current challenges.,Talked about their struggles with self-confidence.,,Talked about past anxiety with a trusted coworker. They were comforting.,Talked about past depression.,"Instead of obtuse attempts at supporting mental health ""in general"" with programs from HR, build trust by attempting to break down the stigma of discussing mental health in the workplace. Have conversations about mental health well being and education as an important part of being a good employee.",After discussion of mental health issues there was  gossiping about the coworker in question.,,would bring physical health issue directly impacted onboarding hired would bring health issue physical mental directly impact employer concern would impact decision employability,would definitely impact decision employability even bearing much stigma around mental health issue,,discussed past issue anxiety discus current challenge,talked struggle selfconfidence,,talked past anxiety trusted coworker comforting,talked past depression,instead obtuse attempt supporting mental health general program hr build trust attempting break stigma discussing mental health workplace conversation mental health well education important part good employee,discussion mental health issue gossiping coworker question,,would bring physical health issue directly impacted onboarding hired would bring health issue physical mental directly impact employer concern would impact decision employability would definitely impact decision employability even bearing much stigma around mental health issue  discussed past issue anxiety discus current challenge talked struggle selfconfidence  talked past anxiety trusted coworker comforting talked past depression instead obtuse attempt supporting mental health general program hr build trust attempting break stigma discussing mental health workplace conversation mental health well education important part good employee discussion mental health issue gossiping coworker question ,0.8689,Positive,United States of America
No company will give a job if you share our mental health issues.,No one will give a job if we share our mental health,,"When we have more pressure on work, they started giving less work.",,,,,Every company is willing to help with mental health which is mention in the company policies. But when it comes to implementation it is bad,,If companies are having mental health in the medical policy. How much they are implementing  it,company give job share mental health issue,one give job share mental health,,pressure work started giving less work,,,,,every company willing help mental health mention company policy come implementation bad,,company mental health medical policy much implementing,company give job share mental health issue one give job share mental health  pressure work started giving less work     every company willing help mental health mention company policy come implementation bad  company mental health medical policy much implementing,0.4215,Positive,United States of America
"Because I may need appointments, exams, leaving during office hours or limiting some task.","It seems so particularly, and i'm afraid to be rejected",,,"That he couldn't sleep, shut down, he needed to seek professional help",,,,Do not press so hard or force extra hours of work. Bringing lectures to encourage discussion on mental health.,They just ignored the situation by increasing pressure and stress at work.,That's all.,may need appointment exam leaving office hour limiting task,seems particularly im afraid rejected,,,couldnt sleep shut needed seek professional help,,,,press hard force extra hour work bringing lecture encourage discussion mental health,ignored situation increasing pressure stress work,thats,may need appointment exam leaving office hour limiting task seems particularly im afraid rejected   couldnt sleep shut needed seek professional help    press hard force extra hour work bringing lecture encourage discussion mental health ignored situation increasing pressure stress work thats,-0.6444,Negative,Sweden
it depends on how badly I needed the job and the disposition of the person conducting the interview,"I usually assume the worst, even if the company claims to be progressive. Too often mental health issues are secretly thought of as the non-smokers ""smoke break"". A cop out to get out of doing work.",,private conversation with one other person that has anxiety,that person had anxiety and we discussed it,,,,"normalize all forms of mental therapy. congratulate those within an organization (who wish to do so) who openly admit to using mental therapy and openly encourage therapy for those who might need it. too often, while trying to be a progressive company, vacations will be congratulated and encouraged as a form of stress relief. therapy should be part of every company's health care package and resources for finding and booking a therapy appointment should be made as easily as possible.",,,depends badly needed job disposition person conducting interview,usually assume worst even company claim progressive often mental health issue secretly thought nonsmoker smoke break cop get work,,private conversation one person anxiety,person anxiety discussed,,,,normalize form mental therapy congratulate within organization wish openly admit using mental therapy openly encourage therapy might need often trying progressive company vacation congratulated encouraged form stress relief therapy part every company health care package resource finding booking therapy appointment made easily possible,,,depends badly needed job disposition person conducting interview usually assume worst even company claim progressive often mental health issue secretly thought nonsmoker smoke break cop get work  private conversation one person anxiety person anxiety discussed    normalize form mental therapy congratulate within organization wish openly admit using mental therapy openly encourage therapy might need often trying progressive company vacation congratulated encouraged form stress relief therapy part every company health care package resource finding booking therapy appointment made easily possible  ,0.8316,Positive,Canada
It depends on how desperately I need the money. We're a humble family.,"My psychiatrist told me not to do so, categorically.","They didn't have any problem to my surprise. 
I was expecting them to look down on me. I recognize I have a lot of stigma.",They reacted quite well and in a supportive manner.,,,,,"Developing strategies and plaforms to help people with mental illnesses and raising awareness. Making it clear that, as my supportive employer said ""it's like if you break a leg, there's nothing wrong about that""",,Thank you for the survey :),depends desperately need money humble family,psychiatrist told categorically,didnt problem surprise expecting look recognize lot stigma,reacted quite well supportive manner,,,,,developing strategy plaforms help people mental illness raising awareness making clear supportive employer said like break leg there nothing wrong,,thank survey,depends desperately need money humble family psychiatrist told categorically didnt problem surprise expecting look recognize lot stigma reacted quite well supportive manner     developing strategy plaforms help people mental illness raising awareness making clear supportive employer said like break leg there nothing wrong  thank survey,0.867,Positive,United Kingdom
"A physical issue would have clear consequences; and I would feel more able to offer a plan of how it could be dealt with with low/no impact to the employer (or me).
As well, temporary issues might be less disguise-able.","I feel like it would be a mark against me, even with a plan to deal with it.

I also feel like mental health issues are less likely to be understood and supported by employers",,,,"I spoke, at several previous jobs, about burnout, it's effects on my ability to deliver.  And discussed potential short and longer term solutions.

At one previous job, when a coworker died unexpectedly, grief counselors were made available.",I worked with friends (outside of work life) and that familiarity extended to coworkers not in that outside friend circle.  But the level to which we were all willing to discuss our mental and physical health was much more open.,"My colleagues and I discussed a jr engineer who was having focus and memory problems post a medication change, and how to set them up for success while also protecting service stability","Reductions in stress, reduction in hero mentalities, less capitalism...",Prefer not to.,,physical issue would clear consequence would feel able offer plan could dealt lowno impact employer well temporary issue might less disguiseable,feel like would mark even plan deal also feel like mental health issue less likely understood supported employer,,,,spoke several previous job burnout effect ability deliver discussed potential short longer term solution one previous job coworker died unexpectedly grief counselor made available,worked friend outside work life familiarity extended coworkers outside friend circle level willing discus mental physical health much open,colleague discussed jr engineer focus memory problem post medication change set success also protecting service stability,reduction stress reduction hero mentality less capitalism,prefer,,physical issue would clear consequence would feel able offer plan could dealt lowno impact employer well temporary issue might less disguiseable feel like would mark even plan deal also feel like mental health issue less likely understood supported employer    spoke several previous job burnout effect ability deliver discussed potential short longer term solution one previous job coworker died unexpectedly grief counselor made available worked friend outside work life familiarity extended coworkers outside friend circle level willing discus mental physical health much open colleague discussed jr engineer focus memory problem post medication change set success also protecting service stability reduction stress reduction hero mentality less capitalism prefer ,0.935,Positive,Mongolia
dodge the answer,to not he think that  i am bad,,,,,,,try to make this posible,dont know,no,dodge answer,think bad,,,,,,,try make posible,dont know,,dodge answer think bad       try make posible dont know ,-0.5423,Negative,United States of America
If I wanted to learn more about the company culture and accommodations in place. It's important to know if it's something the employees and company care about,"If it were something on my mind, I'd ask to learn about company culture and resources available.",,,,,,,More discussion. Emphasize mental health as important as physical health,,Nope,wanted learn company culture accommodation place important know something employee company care,something mind id ask learn company culture resource available,,,,,,,discussion emphasize mental health important physical health,,nope,wanted learn company culture accommodation place important know something employee company care something mind id ask learn company culture resource available       discussion emphasize mental health important physical health  nope,0.7003,Positive,United States of America
Because it is private,Because it is private,,,,,,,none,,none,private,private,,,,,,,none,,none,private private       none  none,0,Neutral,India
They may feel that the cost to cover my insurance claims may be excessive,"Mental issues are not as well understood.  As in information worker, mental issues may more directly affect my productivity.",,,talked about the causes of frustration/anger witnessed in a co-worker.,,,,"less pressure, easier deadlines, more empathetic managers",,,may feel cost cover insurance claim may excessive,mental issue well understood information worker mental issue may directly affect productivity,,,talked cause frustrationanger witnessed coworker,,,,less pressure easier deadline empathetic manager,,,may feel cost cover insurance claim may excessive mental issue well understood information worker mental issue may directly affect productivity   talked cause frustrationanger witnessed coworker    less pressure easier deadline empathetic manager  ,0.6613,Positive,India
They might judge us based on it,We might be judged based on it,,,,,,Work stress and family issues,It's normal to focus on work and deadlines over employees' well-being,,Nothing,might judge u based,might judged based,,,,,,work stress family issue,normal focus work deadline employee wellbeing,,nothing,might judge u based might judged based      work stress family issue normal focus work deadline employee wellbeing  nothing,-0.4215,Negative,Serbia
I would bring up a physical health issue if it effected my daily job.,If the issue effected my ability to do the job daily. In a recent Job interview I did bring it up.,,,Coworker has a mental health issue but did not feel like they could not seek the help they needed.  I talked in to getting the help they needed.,I have ADD and worked with formal employers on how to best handle some of the issues at that time.,Most of the coworkers i have discussed this with were supportive.  A lot of it has to do with a comfortably if discussing the issues.,"A coworker was going through depression.  They had not realized it and we started having a discussion about what was going on.  But, I realized what was going on, and got them the information on how get the help they needed.  They came back later to think me.","The biggest thing that needs to do is to talk about it.  Talk about it with coworkers, employers, and employees.","A Staff member was an Alcoholic and was drinking at work.  The staff starting talking about her behind her back, did not bring the correct staff in to handle the request.",no,would bring physical health issue effected daily job,issue effected ability job daily recent job interview bring,,,coworker mental health issue feel like could seek help needed talked getting help needed,add worked formal employer best handle issue time,coworkers discussed supportive lot comfortably discussing issue,coworker going depression realized started discussion going realized going got information get help needed came back later think,biggest thing need talk talk coworkers employer employee,staff member alcoholic drinking work staff starting talking behind back bring correct staff handle request,,would bring physical health issue effected daily job issue effected ability job daily recent job interview bring   coworker mental health issue feel like could seek help needed talked getting help needed add worked formal employer best handle issue time coworkers discussed supportive lot comfortably discussing issue coworker going depression realized started discussion going realized going got information get help needed came back later think biggest thing need talk talk coworkers employer employee staff member alcoholic drinking work staff starting talking behind back bring correct staff handle request ,0.9468,Positive,United States of America
na,na,,,,,,,na,na,na,na,na,,,,,,,na,na,na,na na       na na na,0,Neutral,United States of America
It could be a disadvantage compared to another applicant,Potential disadvantage,,,He was explaining why he took the day off sick. It was kind of formal.,,,,No clue,,,could disadvantage compared another applicant,potential disadvantage,,,explaining took day sick kind formal,,,,clue,,,could disadvantage compared another applicant potential disadvantage   explaining took day sick kind formal    clue  ,-0.6705,Negative,Germany
I would not bring up health issues in an interview as I do not personally know the interviewer and am not sure how they would react to it.,Not sure how the interviewer would react to it and how it would affect their decision.,,,,,,,Spread more awareness and provide counselling to those who need it as part of health benefits,,Nothing to contribute,would bring health issue interview personally know interviewer sure would react,sure interviewer would react would affect decision,,,,,,,spread awareness provide counselling need part health benefit,,nothing contribute,would bring health issue interview personally know interviewer sure would react sure interviewer would react would affect decision       spread awareness provide counselling need part health benefit  nothing contribute,0.765,Positive,India
Already older candidate so need to be seen as physically active and capable,"Again, older candidate don't want excuse not to be considered",,,They were depressed and wanted to know if I knew a therapist or Dr I could recommend,,My anxiety is situational and VERY obvious when I am having an issue dealing w situation,Depression and OCD/personality disorder of a child,"I've met a lot of people with slight OCD, anxiety, or social anxiety in tech so I think we accept it more even if we don't directly say/support  person","Had a panic attack,explained it was a panic attack but ambulance still called for ""insurance"" reasons",I really appreciate your survey and possibly ways to make mental health more visible,already older candidate need seen physically active capable,older candidate dont want excuse considered,,,depressed wanted know knew therapist dr could recommend,,anxiety situational obvious issue dealing w situation,depression ocdpersonality disorder child,ive met lot people slight ocd anxiety social anxiety tech think accept even dont directly saysupport person,panic attackexplained panic attack ambulance still called insurance reason,really appreciate survey possibly way make mental health visible,already older candidate need seen physically active capable older candidate dont want excuse considered   depressed wanted know knew therapist dr could recommend  anxiety situational obvious issue dealing w situation depression ocdpersonality disorder child ive met lot people slight ocd anxiety social anxiety tech think accept even dont directly saysupport person panic attackexplained panic attack ambulance still called insurance reason really appreciate survey possibly way make mental health visible,-0.8898,Negative,United States of America
If it would require some form of accommodation.,Fear of being judged on it instead of overall qualifications for the job.,,,,,,,,,,would require form accommodation,fear judged instead overall qualification job,,,,,,,,,,would require form accommodation fear judged instead overall qualification job         ,-0.4939,Negative,United States of America
"depends on the issue and my foreseeing its interference with work. not everything is important to bring up. But if it is something for which I would need accommodation I would bring it up. Never before having an offer, though.",This depends on my feeling of the employer. It is also unlikely to be something I would bring up unprompted before having an offer ready. I would be concerned on this impact on my candidacy conscious or unconscious.,,"There is a strong, connected employee network where I work. While the company does not specifically and officially have a mental health conversation, there is a mental-health slack channel and groups of people that care deeply about this topic.",Similarly in a dedicated #mental-health slack channel. Different folks coping day to day,,,,"The industry and employers tend to push towards overwork and stress which trigger and exacerbate existing conditions. I think clear understandings of time off and providing employees time to deal with their mental health issues is a huge first step. Secondly, I think this needs to be active support and encouragement for folks to get used to taking advantage of it and understanding it is OK to say ""no"" to additional work and responsibilities that will cause mental health challenges. 

Open Offices can contain additional challenges for neurodiverse folk.",People unwilling to understand a need for compromising day-to-day procedure to accommodate mental health needs.,,depends issue foreseeing interference work everything important bring something would need accommodation would bring never offer though,depends feeling employer also unlikely something would bring unprompted offer ready would concerned impact candidacy conscious unconscious,,strong connected employee network work company specifically officially mental health conversation mentalhealth slack channel group people care deeply topic,similarly dedicated mentalhealth slack channel different folk coping day day,,,,industry employer tend push towards overwork stress trigger exacerbate existing condition think clear understanding time providing employee time deal mental health issue huge first step secondly think need active support encouragement folk get used taking advantage understanding ok say additional work responsibility cause mental health challenge open office contain additional challenge neurodiverse folk,people unwilling understand need compromising daytoday procedure accommodate mental health need,,depends issue foreseeing interference work everything important bring something would need accommodation would bring never offer though depends feeling employer also unlikely something would bring unprompted offer ready would concerned impact candidacy conscious unconscious  strong connected employee network work company specifically officially mental health conversation mentalhealth slack channel group people care deeply topic similarly dedicated mentalhealth slack channel different folk coping day day    industry employer tend push towards overwork stress trigger exacerbate existing condition think clear understanding time providing employee time deal mental health issue huge first step secondly think need active support encouragement folk get used taking advantage understanding ok say additional work responsibility cause mental health challenge open office contain additional challenge neurodiverse folk people unwilling understand need compromising daytoday procedure accommodate mental health need ,0.9791,Positive,India
If the physical health issue interferes with my work then it would be brought up.,There is a Stigma / Taboo around mental health.,Was going through a period of Anxiety and Depression. Discussed with my manager and requested to change my work profile so that I could relax my mind.,Spoke to a couple of colleagues about how I have panic / anxiety attacks. What typically triggers them.,,,,,Educate employees more on Mental Health issues and ways to overcome them. Talk openly about it.,,Nil,physical health issue interferes work would brought,stigma taboo around mental health,going period anxiety depression discussed manager requested change work profile could relax mind,spoke couple colleague panic anxiety attack typically trigger,,,,,educate employee mental health issue way overcome talk openly,,nil,physical health issue interferes work would brought stigma taboo around mental health going period anxiety depression discussed manager requested change work profile could relax mind spoke couple colleague panic anxiety attack typically trigger     educate employee mental health issue way overcome talk openly  nil,-0.8625,Negative,Brazil
if related to job will tell,Chances of selection get reduced,,,,,I mentioned I am feeling frustrated,,Consider it equal to physical health,,,related job tell,chance selection get reduced,,,,,mentioned feeling frustrated,,consider equal physical health,,,related job tell chance selection get reduced     mentioned feeling frustrated  consider equal physical health  ,-0.2263,Negative,United States of America
It might be they will not consider me for the job,They will not consider me suitable for the job,,,,,,,1. By providing online or in person helpline/ doctor appointment based on mental health.,,Nothing,might consider job,consider suitable job,,,,,,,providing online person helpline doctor appointment based mental health,,nothing,might consider job consider suitable job       providing online person helpline doctor appointment based mental health  nothing,0,Neutral,Spain
Transparency.,Transparency.,,,,I only had the opportunity to talk about my feelings. No actions were taken.,I've just exposed my feelings and he was worried.,,"First, decrease the occupation of people. 100% occupation is not healthy, it is abusive.
Second, mental health awareness campaigns.
Third, provide formal support to those in need.",,,transparency,transparency,,,,opportunity talk feeling action taken,ive exposed feeling worried,,first decrease occupation people occupation healthy abusive second mental health awareness campaign third provide formal support need,,,transparency transparency    opportunity talk feeling action taken ive exposed feeling worried  first decrease occupation people occupation healthy abusive second mental health awareness campaign third provide formal support need  ,0.3612,Positive,United States of America
"Because I think it is important to know, straight away, how they tend to deal with such a thing.","Because I think it is important to know, straight away, how they tend to deal with such a thing.","I stated that I suffer from Bipolar Disorder. I notified them that, despite being medicated and mostly stable, he should expect me to call in sick and/or take leave because of my mental illness between 2 and 4 times a year, based on previos years. They stated that was not a problem and that, if need be, I could ask for time of short-term, rather than needing to adhere to their two week policy. They thanked me for my frankness and stated I could talk/arrange things with the company apointed confidential counselor rather than my manager if that made me feel more comfortable. I thanked them but declined, stating I prefer being open about my mental health issues and keeping both my teammates and maner in the loop.","I informed them I have Bipolar Disorder and explained to them what that means, how it affects me, how it might effect my work and what they can expect from me if things go poorly. They expressed gratitude for my frankness and offered support and encouragement.","Various co-worker have talked to me about, mostly negative, situations they went through in the past relating to their mental state. Occasionally a co-worker will inquire about how I got help and/or raise a concern about their own mental state.",More or less the same as my current employers (see question 2.p.),,,"Be better informed, more supportive and less judgemental.",,,think important know straight away tend deal thing,think important know straight away tend deal thing,stated suffer bipolar disorder notified despite medicated mostly stable expect call sick andor take leave mental illness time year based previos year stated problem need could ask time shortterm rather needing adhere two week policy thanked frankness stated could talkarrange thing company apointed confidential counselor rather manager made feel comfortable thanked declined stating prefer open mental health issue keeping teammate maner loop,informed bipolar disorder explained mean affect might effect work expect thing go poorly expressed gratitude frankness offered support encouragement,various coworker talked mostly negative situation went past relating mental state occasionally coworker inquire got help andor raise concern mental state,less current employer see question p,,,better informed supportive less judgemental,,,think important know straight away tend deal thing think important know straight away tend deal thing stated suffer bipolar disorder notified despite medicated mostly stable expect call sick andor take leave mental illness time year based previos year stated problem need could ask time shortterm rather needing adhere two week policy thanked frankness stated could talkarrange thing company apointed confidential counselor rather manager made feel comfortable thanked declined stating prefer open mental health issue keeping teammate maner loop informed bipolar disorder explained mean affect might effect work expect thing go poorly expressed gratitude frankness offered support encouragement various coworker talked mostly negative situation went past relating mental state occasionally coworker inquire got help andor raise concern mental state less current employer see question p   better informed supportive less judgemental  ,0.7725,Positive,Egypt
Timid,Timid,,,,,,,,,,timid,timid,,,,,,,,,,timid timid         ,-0.4588,Negative,United States of America
Because it might affect my ability to perform the job,It is stigmatized,Good open conversation. Reaction was positive.,,,,,,Better manage the potential for burnout,,Nothing,might affect ability perform job,stigmatized,good open conversation reaction positive,,,,,,better manage potential burnout,,nothing,might affect ability perform job stigmatized good open conversation reaction positive      better manage potential burnout  nothing,0.8934,Positive,United States of America
It is something related with personal life and might affect to their final decissions,It is something about personal life and might affect to their decission,I have told him that during a stressing period I had to go to the phycologist. He took it as non important issue,I told them that i was going through or close to depression and they tried to support me,Some have told me they were going through depression and some had to take some antidepressants,,,,Tech insdustry is demanding and often the mental health issues are relegated as stress is a norm. More awarenes and support and less discrimination,,,something related personal life might affect final decissions,something personal life might affect decission,told stressing period go phycologist took non important issue,told going close depression tried support,told going depression take antidepressant,,,,tech insdustry demanding often mental health issue relegated stress norm awarenes support less discrimination,,,something related personal life might affect final decissions something personal life might affect decission told stressing period go phycologist took non important issue told going close depression tried support told going depression take antidepressant    tech insdustry demanding often mental health issue relegated stress norm awarenes support less discrimination  ,-0.8126,Negative,United States of America
because bad experience,,,,,,,,,,,bad experience,,,,,,,,,,,bad experience          ,-0.5423,Negative,United States of America
You're not going to be hired,Not Hired,Burnout,Burnout,,Burnout,,,Make it formally accepted as a problem,,No,youre going hired,hired,burnout,burnout,,burnout,,,make formally accepted problem,,,youre going hired hired burnout burnout  burnout   make formally accepted problem  ,-0.1531,Negative,United States of America
For easier communication while employed when needed,For them to know my capabilities and limitations,,,,,,,,Made fun behind their backs,none,easier communication employed needed,know capability limitation,,,,,,,,made fun behind back,none,easier communication employed needed know capability limitation        made fun behind back none,0.5994,Positive,India
My anxiety might not allow me to get the job.,The employer might think im crazy or that I cannot perform.,,,,,About anxiety with the amount of work given.,They were stressed out about the amount of work given.,"Understand that the tech industry is very very hard to deal with. We stay up late hours and work early mornings. Mental health deserves a light to be shed upon, because we have families that we also affect.","I was treated unfair, like a child.",Talk about physical abuse and drug use and how it affects mental health in tech.,anxiety might allow get job,employer might think im crazy perform,,,,,anxiety amount work given,stressed amount work given,understand tech industry hard deal stay late hour work early morning mental health deserves light shed upon family also affect,treated unfair like child,talk physical abuse drug use affect mental health tech,anxiety might allow get job employer might think im crazy perform     anxiety amount work given stressed amount work given understand tech industry hard deal stay late hour work early morning mental health deserves light shed upon family also affect treated unfair like child talk physical abuse drug use affect mental health tech,-0.8885,Negative,Germany
The jobs I seek are not physical in nature,I do not want the interviewer to question my ability to do the job.,,Talk about bouts of anxiety at times; very supportive coworkers,Coworker had anxiety and needed someone to listen,,,,Make resources more visible and known to employees. Point out the mental health benefits covered by health insurance plans (if they are covered),,,job seek physical nature,want interviewer question ability job,,talk bout anxiety time supportive coworkers,coworker anxiety needed someone listen,,,,make resource visible known employee point mental health benefit covered health insurance plan covered,,,job seek physical nature want interviewer question ability job  talk bout anxiety time supportive coworkers coworker anxiety needed someone listen    make resource visible known employee point mental health benefit covered health insurance plan covered  ,0.6597,Positive,United States of America
"I think it doesn't belong in an interview (at least, that's wat law says in germany, employees are not allowed to talk about any health issue in an interview).","I think it doesn't belong in an interview (at least, that's wat law says in germany, employees are not allowed to talk about any health issue in an interview).","I've had mental health disorders since 20 years. Some year ago, I suffered from a serious depressions again and finally left work for about a year.
My employee, namely COO, CEO and staff manager, were like ""we are glad you talk to us. We'll help you wherever possible."" And they did, they helped me and my family with financial issues, helped me finding a psychiatrist and even sent colleagues to drive me to a doctor when I wasn't allowed to drive the car by myself. 
After getting better, I had a warm welcome in my company. Now, one year later, they still occassionally ask like ""Are you fine?"", ""Please mind your health"", ...
It helped me so much to know my employee had that vast understanding.","I frankly discussed my mental health issues with some of my colleagues. They were quite understanding and while most of them never suffered from mental health issues themself, most of them new others with mental health issues from their family or friends.",,,,,,"A colleague was fired during his probation period, because he was off for some days and openly spoke about his mental health issues.
I left that employee some months after...",,think doesnt belong interview least thats wat law say germany employee allowed talk health issue interview,think doesnt belong interview least thats wat law say germany employee allowed talk health issue interview,ive mental health disorder since year year ago suffered serious depression finally left work year employee namely coo ceo staff manager like glad talk u well help wherever possible helped family financial issue helped finding psychiatrist even sent colleague drive doctor wasnt allowed drive car getting better warm welcome company one year later still occassionally ask like fine please mind health helped much know employee vast understanding,frankly discussed mental health issue colleague quite understanding never suffered mental health issue themself new others mental health issue family friend,,,,,,colleague fired probation period day openly spoke mental health issue left employee month,,think doesnt belong interview least thats wat law say germany employee allowed talk health issue interview think doesnt belong interview least thats wat law say germany employee allowed talk health issue interview ive mental health disorder since year year ago suffered serious depression finally left work year employee namely coo ceo staff manager like glad talk u well help wherever possible helped family financial issue helped finding psychiatrist even sent colleague drive doctor wasnt allowed drive car getting better warm welcome company one year later still occassionally ask like fine please mind health helped much know employee vast understanding frankly discussed mental health issue colleague quite understanding never suffered mental health issue themself new others mental health issue family friend      colleague fired probation period day openly spoke mental health issue left employee month ,0.802,Positive,United States of America
"Some physical health issues, if not accommodated, would interfere with work performance. I have an eye problem and a hearing problem. My last employer refused to accomodate them (even at my cost) resulting in a painfully overstimulated environment.","My work environment greatly affects my performance. If it won't be a suitable environment, there's no point in continuing candidacy.",,"Mostly discussions of burnout, checking in with each other.",I'm not comfortable answering this question,,,,"I think, on the whole, tech people are a little more ""odd ducks"" and it's kind of expected that we'll be a little outside the norm. I've seen some companies proud of the fact. MailChimp (not an employer I have ever worked for) advertises the quirky work force in its recruiting materials. I've seen CEOs giving tours of the office say things like ""this is Joe, one of our top engineers. He's a little awkward and can't hold a conversation - brilliant people like him are like that sometimes.""",Cannot discuss due to pending litigation. I no longer work there.,,physical health issue accommodated would interfere work performance eye problem hearing problem last employer refused accomodate even cost resulting painfully overstimulated environment,work environment greatly affect performance wont suitable environment there point continuing candidacy,,mostly discussion burnout checking,im comfortable answering question,,,,think whole tech people little odd duck kind expected well little outside norm ive seen company proud fact mailchimp employer ever worked advertises quirky work force recruiting material ive seen ceo giving tour office say thing like joe one top engineer he little awkward cant hold conversation brilliant people like like sometimes,discus due pending litigation longer work,,physical health issue accommodated would interfere work performance eye problem hearing problem last employer refused accomodate even cost resulting painfully overstimulated environment work environment greatly affect performance wont suitable environment there point continuing candidacy  mostly discussion burnout checking im comfortable answering question    think whole tech people little odd duck kind expected well little outside norm ive seen company proud fact mailchimp employer ever worked advertises quirky work force recruiting material ive seen ceo giving tour office say thing like joe one top engineer he little awkward cant hold conversation brilliant people like like sometimes discus due pending litigation longer work ,0.631,Positive,United States of America
I would be afraid that it would make me seem weak.,Same as above. I would be afraid of being seen as weak and therefore lose the opportunity.,,We spoke about stress and how we handle it during times when work becomes overwhelming.,The talked about their anxiety with me. It was a one-on-one conversation.,,,,"I think de-stigmatizing conversations about mental health would be a great step in the right direction. I know there are usually resources or places to get help, but opening up about mental health at work would be nice.",,,would afraid would make seem weak,would afraid seen weak therefore lose opportunity,,spoke stress handle time work becomes overwhelming,talked anxiety oneonone conversation,,,,think destigmatizing conversation mental health would great step right direction know usually resource place get help opening mental health work would nice,,,would afraid would make seem weak would afraid seen weak therefore lose opportunity  spoke stress handle time work becomes overwhelming talked anxiety oneonone conversation    think destigmatizing conversation mental health would great step right direction know usually resource place get help opening mental health work would nice  ,0.1027,Positive,United States of America
